Rk,Player,Pos,CrdY
390,Sontje Hansen,FW,0
391,Mohamed Hany,DF,0
392,Moteb Al-Harbi,DF,0
393,Saleh Hardani,DF,0
394,Carlos Harvey,MF,1
395,Akam Hashim,DF,0
396,Haissem Hassan,MF,2
397,Jalal Hassan,GK,0
398,Abdulaziz Hatem,MF,0
399,Jorrel Hato,DF,0
400,Kai Havertz,FW,1
401,Hassan Al-Haydos,MF,0
402,Jan Paul van Hecke,DF,0
403,Hwang Hee-chan,FW,0
404,Torbjørn Heggem,DF,0
405,Alaa Al Hejji,MF,0
406,Dean Henderson,GK,0
407,Jordan Henderson,MF,1
408,Jack Hendry,DF,0
409,Luiz Henrique,FWMF,0
410,Theo Hernández,DF,0
411,Lucas Herrington,DF,0
412,Son Heung-min,FW,0
413,Aaron Hickey,DF,1
414,Isak Hien,DF,1
415,Piero Hincapié,DF,1
416,Adam Hložek,FW,0
417,Tomáš Holeš,DF,0
418,Amirhossein Hosseinzadeh,FW,0
419,Robin Hranáč,DF,0
420,Ajdin Hrustic,MF,0
421,César Huerta,FWMF,0
422,Al-Hashmi Al-Hussain,MF,0
423,Ayman Hussein,FW,0
424,Oh Hyeon-gyu,FW,0
425,Yang Hyun-jun,FWMF,0
426,Roger Ibanez,DF,1
427,Yasser Ibrahim,DF,2
428,Borja Iglesias,FW,0
429,Hwang In-beom,MF,0
430,Christ Inao Oulaï,MF,0
431,Zidane Iqbal,MF,0
432,Nestory Irankunda,FWMF,0
433,Jackson Irvine,MF,1
434,Alexander Isak,FW,0
435,Wilson Isidor,FW,0
436,Jamshid Iskanderov,FWMF,0
437,Zaid Ismail,MF,0
438,Ko Itakura,DF,0
439,Jacob Italiano,DF,1
440,Hiroki Ito,DF,0
441,Junya Itō,MF,0
442,Cedric Itten,FWMF,0
443,Nicolas Jackson,FW,0
444,Lee Jae-sung,FW,0
445,Alireza Jahanbakhsh,FWMF,0
446,Ismail Jakobs,DF,0
447,Reece James,DF,0
448,Amer Jamous,MF,0
449,Luca Jaquez,DF,0
450,Ardon Jashari,MF,0
451,Ali Jasim,MF,0
452,Danley Jean-Jacques,MF,1
453,Eom Ji-sung,MF,0
454,Raúl Jiménez,FW,0
455,Kim Jin-gyu,MF,0
456,Park Jinseob,DFMF,0
457,Ruslanbek Jiyanov,FW,0
458,Alistair Johnston,DF,1
459,Frenkie de Jong,MF,0
460,Lenny Joseph,FW,0
461,Edmilson Junior,MFFW,0
462,Vinicius Júnior,FW,0
463,Elijah Just,MF,1
464,Musab Al Juwayr,MFFW,0
465,Ayoub El Kaabi,FW,0
466,Ozan Kabak,DF,0
467,Ferdi Kadioglu,DF,0
468,Kaku,MF,0
469,Saša Kalajdžić,FW,0
470,Gédéon Kalulu,DF,0
471,Daichi Kamada,MF,1
472,Hossein Kanaanizadegan,DF,1
473,Harry Kane,FW,0
474,Lee Kang-in,FW,1
475,Mohamed Kanno,MF,1
476,Steve Kapuadi,DF,0
477,Bekhruz Karimov,DF,0
478,Jesper Karlström,MF,0
479,Gervane Kastaneer,FWMF,2
480,Nikola Katić,DF,1
481,Edo Kayembe,MF,0
482,Joris Kayembe,DFFW,0
483,Franck Kessié,MF,1
484,Abdullah Al-Khaibari,MF,0
485,Shoja' Khalilzadeh,DF,1
486,Dostonbek Khamdamov,MF,0
487,Bilal El Khannouss,MFFW,1
488,Rani Khedira,MF,1
489,Boualem Khoukhi,DF,0
490,Abdukodir Khusanov,DF,2
491,Joshua Kimmich,DF,0
492,Justin Kluivert,FWMF,0
493,Gregor Kobel,GK,0
494,Orkun Kökçü,MF,0
495,Sead Kolašinac,DF,0
496,Ghislain Konan,DF,0
497,Ibrahima Konaté,DF,0
498,Ismaël Koné,MF,0
499,Manu Koné,MF,1
500,Ezri Konsa,DF,0
501,Teun Koopmeiners,DFMF,0
502,Odilon Kossounou,DF,0
503,Kalidou Koulibaly,DF,0
504,Jules Koundé,DF,0
505,Mateo Kovačić,MF,0
506,Matej Kovar,GK,0
507,Andrej Kramarić,FWMF,0
508,Ladislav Krejčí,DF,1
509,Takefusa Kubo,MF,0
510,Brandley Kuwas,FWMF,0
511,Prince Kwabena Adu,FW,0
512,Maxence Lacroix,DF,0
513,Gustaf Lagerbielke,DF,0
514,Konrad Laimer,MFDF,1
515,Ali Lajami,DF,0
516,Senne Lammens,GK,0
517,Noa Lang,FWMF,0
518,Sondre Langås,DF,0
519,Aymeric Laporte,DF,1
520,Cyle Larin,FW,2
521,Richie Laryea,DF,1
522,Mohanad Lasheen,MF,2
523,Issa Laye,MFDF,0
524,Rafael Leão,MF,0
525,Mathew Leckie,MF,0
526,Jefferson Lerma,MF,1
527,Jamie Leweling,FWMF,0
528,Philipp Lienhart,DF,0
529,Victor Lindelöf,DFMF,0
530,Erik Lira,MF,0
531,Dominik Livaković,GK,0
532,Dailon Livramento,FW,0
533,Marcos Llorente,DF,0
534,Giovani Lo Celso,MF,0
535,Jürgen Locadia,FW,0
536,Azarías Londoño,MF,0
537,Sidny Lopes Cabral,DF,2
538,Flaco López,FW,1
539,Derrick Luckassen,DF,0
540,Jhon Lucumí,DF,1
541,José Luis Rodríguez,MFFW,0
542,Romelu Lukaku,FW,1
543,Dodi Lukebakio,MF,0
544,Jovo Lukić,FW,1
545,Awer Mabil,FWMF,0
546,Alexis Mac Allister,MF,1
547,Deiver Machado,DF,0
548,Shuto Machino,FW,0
549,Assim Madibo,MF,0
550,Noni Madueke,MF,0
551,Daizen Maeda,MF,0
552,Gabriel Magalhães,DF,0
553,Ermin Mahmić,MF,1
554,Hadj Mahmoud,MF,0
555,Riyad Mahrez,MF,0
556,Alexandro Maidana,DF,0
557,Mike Maignan,GK,0
558,Evidence Makgopa,FW,0
559,Ahmed Maknzi,DF,0
560,Donyell Malen,FW,0
561,Arjan Malic,DF,0
562,Mohamed Manai,DF,0
563,Aïssa Mandi,DF,0
564,Sadio Mané,MFFW,0
565,Juan Manuel Sanabria,DF,1
566,Johan Manzambi,MFFW,0
567,Mahmoud Al-Mardi,MF,0
568,Jearl Margaritha,FWMF,0
569,Omar Marmoush,FWMF,0
570,Marquinhos,DF,0
571,Gabriel Martinelli,MF,0
572,Guillermo Martínez Ayala,FW,0
573,Cristian Martínez,MFFW,0
574,Emiliano Martínez,GK,0
575,Lautaro Martínez,FW,1
576,Lisandro Martínez,DF,2
577,Thapelo Maseko,MFFW,0
578,Hazem Mastouri,FW,0
579,Arthur Masuaku,DF,0
580,Igor Matanović,FW,0
581,Pape Matar Sarr,MF,0
582,Jean-Philippe Mateta,FW,0
583,Mauricio,MF,0
584,Fiston Mayele,FW,0
585,Ibrahim Maza,MFFW,0
586,Noussair Mazraoui,DF,0
587,Kylian Mbappé,FW,1
588,Thalente Mbatha,MF,1
589,Ibrahim Mbaye,MF,0
590,Chancel Mbemba,DF,1
591,Mbekezeli Mbokazi,DF,0
592,Nathanaël Mbuku,MFFW,1
593,Callum McCowatt,MF,1
594,John McGinn,MF,0
595,Scott McKenna,DF,0
596,Weston McKennie,MF,1
597,Mark McKenzie,DF,0
598,Kenny McLean,MF,1
599,Scott McTominay,MF,0
600,Brandon Mechele,DF,1
601,Facundo Medina,DF,1
602,Yaimar Medina,DFMF,0
603,Hannibal Mejbri,MF,0
604,Amar Memić,MF,0
605,Memphis,FWMF,1
606,Sultan Mendash,MF,0
607,Lucas Mendes,DF,0
608,Nuno Mendes,DF,0
609,Ryan Mendes,FWMF,0
610,Édouard Mendy,GK,0
611,Gideon Mensah,DF,0
612,Mikel Merino,MF,0
613,Lionel Messi,FW,0
614,Connor Metcalfe,MF,0
615,Thomas Meunier,DF,0
616,Liam Millar,MF,1
617,Kim Min-jae,DF,0
618,Yerry Mina,DF,0
619,Alan Minda,MF,0
620,Aubrey Modiba,DF,1
621,Luka Modrić,MF,1
622,Relebohile Mofokeng,MF,0
623,Shahriar Moghanlou,FW,0
624,Milad Mohammadi,DF,0
625,Mohammad Mohebi,MF,0
626,Johan Mojica,DF,1
627,Teboho Mokoena,MF,2
628,Nahuel Molina,DF,0
629,Jamiro Monteiro,MF,0
630,César Montes,DF,0
631,Gonzalo Montiel,DF,1
632,Kim Moon-hwan,MF,0
633,Gilberto Mora,MF,0
634,Diego Moreira,MF,0
635,Steven Moreira,DF,0
636,Tshepang Moremi,MF,0
637,Orlando Mosquera,GK,0
638,Samir El Mourabet,MF,0
639,Samuel Moutoussamy,MF,1
640,Akmal Mozgovoy,MF,0
641,Lionel Mpasi,GK,0
642,Khuliso Mudau,DF,0
643,Tarik Muharemovic,DF,0
644,Miro Muheim,DFMF,1
645,Ngal'Ayel Mukau,MF,0
646,Mert Müldür,DF,0
647,Daniel Muñoz,DF,0
648,Petar Musa,FW,0
649,Jamal Musiala,MF,1
650,Fernando Muslera,GK,0
651,Phillipp Mwene,DF,0
652,David Møller Wolfe,DF,0
653,Yūto Nagatomo,DFMF,0
654,Keito Nakamura,MF,0
655,Abdallah Nasib,DF,0
656,Sherzod Nasrullaev,DFMF,1
657,Duckens Nazon,FWMF,1
658,Iliman Ndiaye,FW,0
659,Dan Ndoye,MFFW,0
660,Jayden Nelson,FWMF,0
661,Ali Nemati,DF,1
662,Abduvohid Nematov,GK,0
663,Pedro Neto,MF,0
664,Manuel Neuer,GK,0
665,João Neves,MF,0
666,Rúben Neves,MF,0
667,Neymar,FWMF,1
668,Nathan Ngoy,DF,0
669,Moussa Niakhaté,DF,0
670,Gustaf Nilsson,FW,0
671,Felix Nmecha,MF,0
672,Kristoffer Nordfeldt,GK,0
673,Tyrese Noslin,MF,0
674,Ernest Nuamah,MF,0
675,Matheus Nunes,DFMF,0
676,Darwin Núñez,FW,0
677,Antonio Nusa,FW,1
678,Benjamin Nygren,MF,0
679,Ørjan Nyland,GK,0
680,Aiden O'Neill,MF,0
681,Nico O'Reilly,DF,1
682,Salim Obaid,DF,0
683,Armando Obispo,DF,0
684,Guillermo Ochoa,GK,0
685,Kōki Ogawa,FW,0
686,Braian Ojeda,MF,0
687,Noah Okafor,FWMF,0
688,Ime Okon,DF,0
689,Paul Okon-Engstler,MF,0
690,Ben Old,MF,0
691,Michael Olise,MF,1
692,Mathías Olivera,DF,1
693,Dani Olmo,MF,0
694,Tani Oluwaseyi,FW,0
695,Ali Olwan,MF,0
696,Amadou Onana,MF,0
697,Christopher Opéri,DF,0
698,Jerome Opoku,DF,0
699,Joel Ordóñez,DF,0
700,Jonathan Osorio,MF,0
701,Nicolás Otamendi,DF,0
702,Zakaria El Ouahdi,DFMF,0
703,Ayoub Al-Oui,DF,0
704,Azzedine Ounahi,MF,1
705,Mohammed Al-Owais,GK,0
706,Elisha Owusu,MF,0
707,Mikel Oyarzabal,FW,0
708,Salih Özcan,MF,0
709,Willian Pacho,DF,0
710,Kendry Páez,MF,1
711,Exequiel Palacios,DF,0
712,Lucas Paquetá,MF,0
713,Leandro Paredes,MF,2
714,Thomas Partey,MF,0
715,Marco Pašalić,MF,0
716,Mario Pašalić,MF,0
717,Nathan Patterson,DF,0
718,João Paulo Fernandes,DF,0
719,Aleksandar Pavlovic,MF,1
720,Tim Payne,DF,0
721,Nicolás Paz,MF,0
722,Marcus Pedersen,DF,0
723,Pedri,MF,1
724,Nicolas Pépé,FW,1
725,Ricardo Pepi,FW,0
726,Kojo Peprah Oppong,DF,1
727,Ivan Perišić,MFDF,2
728,Jens Petter Hauge,DFFW,0
729,Charles Pickel,DFMF,1
730,Jordan Pickford,GK,0
731,Pico,DF,0
732,Frantzdy Pierrot,FW,1
733,Kevin Pina,MF,1
734,Wagner Pina,DF,1
735,Orbelín Pineda,FWMF,0
736,Yéremy Pino,FWMF,0
737,Isidro Pitta,FW,0
738,Johny Placide,GK,1
739,Gonzalo Plata,FW,1
740,Marin Pongračić,DF,0
741,Jackson Porozo,DF,1
742,Pedro Porro,DF,0
743,Stefan Posch,DF,2
744,Alexander Prass,DFMF,0
745,Ángelo Preciado,DFMF,0
746,Ruben Providence,MF,0
747,Lukáš Provod,FW,0
748,Marc Pubill,DF,0
749,Gustavo Puerta,MF,1
750,Christian Pulisic,MF,0
751,Ahmed Qasem,MFFW,0
752,Jarell Quansah,DF,1
753,Julián Quiñones,FWMF,0
754,Alberto Quintero,FWMF,0
755,Juan Quintero,FWMF,0
756,Ramy Rabia,DF,0
757,Adrien Rabiot,MF,1
758,Stjepan Radeljić,DF,1
759,Soufiane Rahimi,FW,0
760,Abdul Rahman Baba,DFMF,0
761,Anthony Ralston,DF,0
762,Gonçalo Ramos,FW,0
763,Jiovany Ramos,DF,0
764,Jesse Randall,MF,0
765,Raúl Rangel,GK,0
766,Raphinha,MFFW,0
767,Nizar Al Rashdan,MF,0
768,Marcus Rashford,MF,0
769,Nicolas Raskin,MF,0
770,David Raum,DF,0
771,Noor Al Rawabdeh,MF,0
772,Rayan,FWMF,0
773,Iqraam Rayners,FW,0
774,Tim Ream,DF,0
775,Tijjani Reijnders,MF,0
776,Omar Rekik,DF,0
777,Israel Reyes,DF,0
778,Gio Reyna,MF,0
779,Ramin Rezaeian,DFMF,0
780,Chadi Riad,DF,0
781,Declan Rice,MF,2
782,Chris Richards,DF,1
783,Fabian Rieder,MFFW,0
784,Richard Ríos,MF,1
785,Ró-Ró,DF,0
786,Andy Robertson,DF,1
787,Antonee Robinson,DFMF,1
788,Miles Robinson,DF,0
789,Sergio Rochet,GK,0
790,Rodri,MF,0
791,Garry Rodrigues,MF,0
792,Brian Rodríguez,FWMF,0
793,James Rodríguez,FWMF,0
794,Kevin Rodríguez,FW,0
795,Ricardo Rodríguez,DF,0
796,Tomás Rodríguez,FW,0
797,Godfried Roemeratoe,MF,0
